"runtime","fps","found","explored","disk_usage","fixed_hash_load_factor","hash_load_factor","cache_load_factor","collisions"
19555,34585,22012712,1038027934,10.31,9.1806,9.1806,53.1337,1013441165
19615,42514,22034290,1039934048,10.31,9.1881,9.1881,53.7294,1015426467
19675,6931,22048456,1041276624,10.31,9.1926,9.1926,54.1489,1016830195
19735,38763,22070304,1043134589,10.31,9.2001,9.2001,54.7296,1018725387
19795,16020,22090227,1044897501,10.31,9.2081,9.2081,55.2805,1020518569
19855,9185,22106390,1046243283,10.31,9.2144,9.2144,55.7010,1021918350
19915,69815,22122521,1047518666,10.31,9.2195,9.2195,56.0996,1023228286
19975,55781,22138207,1048882950,10.31,9.2248,9.2248,56.5259,1024624140
20035,54035,22153965,1050198327,10.31,9.2300,9.2300,56.9370,1025970982
20095,10673,22171908,1051349829,10.31,9.2347,9.2347,57.2968,1027130101
20155,10830,22188934,1052479597,10.31,9.2394,9.2394,57.6499,1028295984
20215,9270,22203329,1053520640,10.31,9.2431,9.2431,57.9752,1029387561
20275,0,22210210,1054000010,10.31,9.2449,9.2449,58.1250,1029887442
20335,0,22210210,1054000010,10.31,9.2449,9.2449,58.1250,1029887442
20395,0,22210210,1054000010,10.31,9.2449,9.2449,58.1250,1029887442
20455,0,22210210,1054000010,10.31,9.2449,9.2449,58.1250,1029887442
20515,0,22210210,1054000010,10.31,9.2449,9.2449,58.1250,1029887442
20575,0,22210210,1054000010,10.31,9.2449,9.2449,58.1250,1029887442
20635,0,22210210,1054000010,10.31,9.2449,9.2449,58.1250,1029887442
20695,0,22210210,1054000010,10.31,9.2449,9.2449,58.1250,1029887442
20755,0,22210210,1054000010,10.31,9.2449,9.2449,58.1250,1029887442
20815,0,22210210,1054000010,10.31,9.2449,9.2449,58.1250,1029887442
20875,0,22210210,1054000010,10.31,9.2449,9.2449,58.1250,1029887442
20935,0,22210210,1054000010,10.31,9.2449,9.2449,58.1250,1029887442
20995,1553,22210382,1054055242,10.31,9.2449,9.2449,19.3923,1029926636
21055,3571,22210794,1054191645,10.31,9.2450,9.2450,19.4349,1030028456
21115,7042,22211649,1054459435,10.31,9.2452,9.2452,19.5186,1030241394
21175,12578,22213802,1055009343,10.31,9.2457,9.2457,19.6904,1030692774
21235,30623,22218672,1056082591,10.31,9.2467,9.2467,20.0258,1031578348
21295,11991,22230829,1057699894,10.31,9.2489,9.2489,20.5312,1032924511
21355,24744,22246004,1059861216,10.31,9.2519,9.2519,21.2066,1034714731
21415,37215,22267120,1062300200,10.31,9.2565,9.2565,21.9688,1036734756
21475,61212,22282540,1064376938,10.31,9.2602,9.2602,22.6178,1038483457
21535,39517,22308313,1068121021,10.31,9.2674,9.2674,23.7878,1041714534
21595,46821,22328827,1071058675,10.31,9.2736,9.2736,24.7058,1044329070
21655,119507,22362769,1075840904,10.31,9.2829,9.2829,26.2003,1048690330
21715,102747,22402595,1081670933,10.31,9.2938,9.2938,28.0222,1054108578
21775,147838,22457297,1089970576,10.31,9.3088,9.3088,30.6158,1061901396
21835,119274,22519987,1097870468,10.31,9.3299,9.3299,33.0845,1069338856
21895,155512,22603621,1106486752,10.31,9.3566,9.3566,35.7771,1077525471
21955,188689,22713526,1117329277,10.31,9.3902,9.3902,39.1654,1088098767
22015,150694,22785554,1125383362,10.31,9.4126,9.4126,41.6823,1096025663
22075,23089,22844755,1131089350,10.31,9.4321,9.4321,43.4654,1101688915
22135,110076,22919682,1137048494,10.31,9.4637,9.4637,45.3277,1107670786
22195,95011,22977534,1142223957,10.31,9.4878,9.4878,46.9450,1112990887
22255,73910,23035853,1147153594,10.31,9.5122,9.5122,48.4855,1118139834
22315,76322,23080084,1150403280,10.31,9.5316,9.5316,49.5010,1121423708
22375,114468,23119160,1153283682,10.31,9.5490,9.5490,50.4011,1124334809
22435,23068,23168577,1156650422,10.31,9.5690,9.5690,51.4533,1127707803
